chunks,samples,memory_usage,fit_time,predict_time,r_squared
10,8000,60459.476562,213.660,66.241,0.952
10,8000,56443.007812,199.906,58.524,0.951
20,8000,45995.226562,200.245,64.980,0.883
20,8000,47777.078125,212.114,63.571,0.967
40,8000,32853.242188,210.460,65.559,0.952
40,8000,35232.140625,213.346,64.910,0.962
80,8000,24990.519531,202.972,64.174,0.926
80,8000,26257.132812,208.369,61.966,0.958
120,8000,20214.539062,204.936,64.134,0.952
120,8000,21579.640625,200.877,65.473,0.972
160,8000,19374.851562,210.253,66.214,0.908
160,8000,22180.890625,212.942,65.012,0.964
200,8000,17807.746094,207.398,67.647,0.863
200,8000,20384.707031,209.380,67.265,0.969
240,8000,19513.996094,208.850,67.685,0.945
240,8000,18747.445312,207.284,66.065,0.935
