chunks,samples,fit_time,predict_time
1,2000,293.883,58.744
1,4000,1030.653,115.280
1,6000,2189.204,165.987
1,2000,281.548,55.326
1,4000,986.525,111.668
1,6000,2189.375,175.238
2,2000,144.387,28.148
2,4000,517.181,55.350
2,6000,1099.670,84.912
2,2000,141.040,27.989
2,4000,500.937,55.720
2,6000,1086.299,83.656
4,2000,75.042,14.661
4,4000,256.063,28.466
4,6000,546.683,42.721
4,2000,74.504,14.455
4,4000,256.933,28.516
4,6000,551.522,42.626
8,2000,40.888,7.806
8,4000,134.528,15.010
8,6000,281.953,22.499
8,2000,40.771,7.751
8,4000,135.159,14.992
8,6000,282.934,22.399
16,2000,25.588,5.490
16,4000,75.633,9.682
16,6000,156.904,14.553
16,2000,25.595,5.377
16,4000,76.252,10.127
16,6000,156.677,14.669
24,2000,28.928,6.427
24,4000,61.941,10.264
24,6000,114.201,14.406
24,2000,22.737,6.391
24,4000,63.303,12.563
24,6000,113.666,14.645
32,2000,24.960,5.778
32,4000,51.869,10.950
32,6000,98.825,16.836
32,2000,25.651,6.201
32,4000,52.458,12.489
32,6000,99.143,16.779
40,2000,23.481,6.242
40,4000,49.816,10.749
40,6000,86.778,15.731
40,2000,23.561,5.988
40,4000,51.199,11.192
40,6000,86.587,15.239
48,2000,23.883,6.454
48,4000,49.639,11.867
48,6000,79.799,15.053
48,2000,23.561,6.471
48,4000,49.765,10.678
48,6000,77.773,15.342
