chunks,samples,fit_time,predict_time,r_squared
1,2000,228.001,45.968,0.993
1,4000,804.743,89.664,0.958
1,6000,1503.598,136.777,0.869
1,8000,2720.292,183.038,0.876
1,2000,228.657,45.721,0.993
1,4000,816.201,89.640,0.963
1,6000,1495.079,135.604,0.881
1,8000,2715.215,183.378,0.795
2,2000,115.838,22.521,0.993
2,4000,409.343,45.197,0.966
2,6000,759.757,67.485,0.919
2,8000,1349.436,90.032,0.897
2,2000,115.727,22.806,0.993
2,4000,409.077,44.963,0.970
2,6000,746.117,66.935,0.899
2,8000,1350.219,92.511,0.920
4,2000,61.592,11.639,0.994
4,4000,210.627,23.010,0.950
4,6000,379.523,35.530,0.947
4,8000,681.148,46.968,0.908
4,2000,61.880,11.542,0.994
4,4000,210.689,23.591,0.979
4,6000,380.330,34.741,0.912
4,8000,681.181,50.062,0.907
8,2000,40.400,7.084,0.993
8,4000,111.748,13.480,0.961
8,6000,200.844,22.732,0.929
8,8000,353.007,26.039,0.897
8,2000,35.167,7.836,0.993
8,4000,112.833,13.317,0.976
8,6000,203.087,21.709,0.925
8,8000,353.716,26.255,0.920
16,2000,31.200,7.852,0.994
16,4000,71.245,15.237,0.940
16,6000,124.920,22.587,0.885
16,8000,209.121,29.889,0.857
16,2000,31.419,7.781,0.994
16,4000,76.557,16.352,0.970
16,6000,129.831,24.772,0.882
16,8000,209.876,28.869,0.879
24,2000,30.825,9.011,0.993
24,4000,68.078,14.817,0.960
24,6000,104.597,19.989,0.897
24,8000,171.892,28.859,0.883
24,2000,34.342,8.500,0.993
24,4000,78.138,15.244,0.970
24,6000,98.026,22.771,0.931
24,8000,172.395,27.061,0.819
32,2000,31.614,8.483,0.994
32,4000,65.575,15.979,0.941
32,6000,95.219,22.850,0.937
32,8000,152.731,31.075,0.692
32,2000,30.742,8.228,0.994
32,4000,65.365,15.866,0.934
32,6000,101.278,23.358,0.880
32,8000,149.047,30.974,0.660
40,2000,30.132,8.293,0.992
40,4000,64.495,15.933,0.959
40,6000,101.255,23.086,0.876
40,8000,138.128,31.588,0.947
40,2000,30.798,8.712,0.993
40,4000,67.514,15.692,0.953
40,6000,99.975,23.821,0.923
40,8000,139.141,31.978,0.917
48,2000,29.872,8.621,0.994
48,4000,63.977,17.021,0.954
48,6000,90.989,23.646,0.921
48,8000,133.218,29.821,0.862
48,2000,30.789,9.012,0.994
48,4000,63.045,15.835,0.971
48,6000,97.616,25.163,0.935
48,8000,130.520,33.429,0.925
