chunks,samples,fit_time,predict_time,r_squared
2,2000,70.975,22.451,0.962
2,4000,140.165,44.721,0.964
2,6000,221.482,70.240,0.968
2,8000,308.793,97.425,0.848
2,2000,71.547,22.126,0.939
2,4000,140.254,44.208,0.934
2,6000,218.674,69.285,0.945
2,8000,304.829,97.939,0.963
4,2000,38.394,11.715,0.946
4,4000,73.708,23.127,0.970
4,6000,114.872,35.933,0.962
4,8000,161.460,50.006,0.967
4,2000,38.374,11.733,0.893
4,4000,73.468,23.057,0.967
4,6000,115.097,35.697,0.975
4,8000,161.746,50.064,0.970
8,2000,23.512,7.205,0.944
8,4000,45.524,13.724,0.863
8,6000,68.212,20.334,0.968
8,8000,92.611,28.420,0.972
8,2000,23.769,7.083,0.972
8,4000,45.456,14.320,0.958
8,6000,66.542,20.473,0.967
8,8000,91.624,28.248,0.810
16,2000,24.222,7.693,0.969
16,4000,46.270,14.341,0.951
16,6000,71.223,24.438,0.966
16,8000,96.066,31.449,0.971
16,2000,25.946,8.825,0.969
16,4000,54.248,16.967,0.971
16,6000,77.692,22.956,0.969
16,8000,100.262,30.687,0.958
24,2000,24.655,7.933,0.968
24,4000,46.298,14.709,0.878
24,6000,69.044,22.856,0.966
24,8000,91.498,31.842,0.931
24,2000,24.923,7.736,0.965
24,4000,45.298,15.390,0.956
24,6000,72.326,20.225,0.956
24,8000,95.640,29.037,0.965
32,2000,26.106,8.637,0.928
32,4000,49.466,14.976,0.968
32,6000,70.723,24.283,0.963
32,8000,96.139,29.545,0.971
32,2000,25.531,8.515,0.809
32,4000,49.885,15.722,0.963
32,6000,73.732,22.370,0.972
32,8000,95.255,30.390,0.973
40,2000,26.434,8.247,0.961
40,4000,49.173,15.230,0.723
40,6000,75.098,22.583,0.903
40,8000,94.846,31.076,0.961
40,2000,26.770,8.449,0.830
40,4000,48.788,16.989,0.841
40,6000,74.949,22.318,0.952
40,8000,100.425,32.613,0.945
48,2000,25.827,8.316,0.953
48,4000,48.276,16.526,0.928
48,6000,72.802,22.910,0.801
48,8000,95.938,28.552,0.953
48,2000,25.763,8.340,0.954
48,4000,49.370,15.706,0.887
48,6000,73.276,23.713,0.971
48,8000,96.137,29.018,0.959
