chunks,samples,fit_time,predict_time,r_squared
1,2000,140.311,44.221,0.969
1,4000,277.955,91.637,0.895
1,6000,445.000,145.000,0.959
1,8000,608.601,201.108,0.942
1,2000,140.840,44.937,0.939
1,4000,283.835,91.742,0.936
1,6000,435.423,135.964,0.971
1,8000,619.657,189.924,0.952
1,2000,140.673,45.364,0.955
1,4000,284.834,90.506,0.892
1,6000,431.789,140.852,0.944
1,8000,606.516,194.044,0.963
2,2000,75.548,23.123,0.883
2,4000,149.027,46.204,0.971
2,6000,231.411,72.068,0.971
2,8000,306.397,101.975,0.959
2,2000,74.856,23.402,0.913
2,4000,149.360,48.599,0.926
2,6000,224.703,72.409,0.704
2,8000,316.888,95.711,0.929
2,2000,75.953,23.060,0.929
2,4000,146.784,47.597,0.960
2,6000,228.846,73.496,0.966
2,8000,308.002,95.995,0.937
4,2000,40.057,12.657,0.873
4,4000,79.710,24.653,0.968
4,6000,116.147,36.742,0.970
4,8000,159.429,49.328,0.971
4,2000,39.506,12.433,0.757
4,4000,80.108,24.351,0.886
4,6000,117.904,36.920,0.972
4,8000,159.402,49.628,0.868
4,2000,40.379,12.582,0.928
4,4000,78.540,24.499,0.971
4,6000,119.493,36.998,0.928
4,8000,158.153,49.609,0.968
8,2000,28.216,8.110,0.948
8,4000,47.417,14.482,0.961
8,6000,75.387,26.108,0.971
8,8000,91.577,27.508,0.940
8,2000,25.259,8.078,0.966
8,4000,48.991,14.726,0.943
8,6000,72.996,20.516,0.885
8,8000,101.570,32.254,0.720
8,2000,24.091,7.503,0.969
8,4000,47.690,15.416,0.974
8,6000,77.399,23.300,0.970
8,8000,92.976,27.984,0.962
16,2000,27.466,8.715,0.902
16,4000,54.941,18.827,0.966
16,6000,74.614,23.014,0.971
16,8000,101.454,32.725,0.933
16,2000,28.341,8.034,0.761
16,4000,54.117,15.387,0.974
16,6000,76.739,26.093,0.864
16,8000,99.222,30.270,0.913
16,2000,26.686,8.024,0.948
16,4000,53.671,17.742,0.954
16,6000,78.752,22.250,0.965
16,8000,98.827,28.978,0.930
24,2000,26.929,7.969,0.969
24,4000,51.846,14.799,0.971
24,6000,79.709,24.456,0.975
24,2000,26.593,8.164,0.962
24,4000,50.800,16.680,0.929
24,6000,77.764,25.418,0.973
24,8000,97.758,30.088,0.970
24,2000,26.780,8.236,0.914
24,4000,51.490,15.916,0.959
24,6000,77.122,23.100,0.958
24,8000,99.793,30.472,0.934
32,2000,27.637,8.550,0.967
32,4000,54.541,16.539,0.853
32,6000,80.466,24.669,0.972
32,8000,102.495,31.188,0.953
32,2000,27.059,9.121,0.776
32,4000,53.726,17.545,0.971
32,6000,79.070,25.269,0.968
32,8000,105.619,31.396,0.973
32,2000,28.282,8.638,0.948
32,4000,51.469,16.507,0.967
32,6000,80.110,25.120,0.967
32,8000,106.987,32.762,0.968
40,2000,28.304,9.252,0.972
40,4000,52.930,17.404,0.932
40,6000,80.541,25.646,0.954
40,8000,104.746,35.460,0.953
40,2000,28.171,9.262,0.923
40,4000,52.457,17.010,0.823
40,6000,79.905,24.876,0.963
40,8000,104.562,31.935,0.943
40,2000,28.615,8.922,0.902
40,4000,52.649,17.050,0.892
40,6000,78.035,24.715,0.971
40,8000,101.015,32.683,0.971
48,2000,28.351,8.695,0.945
48,4000,56.037,17.734,0.967
48,6000,78.666,25.065,0.972
48,8000,103.003,34.102,0.844
48,2000,27.722,8.848,0.943
48,4000,54.066,16.895,0.969
48,6000,76.058,24.609,0.795
48,8000,102.917,34.566,0.936
48,2000,28.372,9.416,0.964
48,4000,53.556,16.912,0.969
48,6000,78.366,23.497,0.973
48,8000,102.828,32.430,0.971
