chunks,samples,fit_time,predict_time,r_squared
1,2000,141.237,45.311,0.969
1,4000,284.595,90.946,0.949
1,6000,418.950,135.536,0.972
1,8000,572.355,180.370,0.973
1,2000,143.570,44.968,0.969
1,4000,279.653,90.366,0.875
1,6000,409.479,131.441,0.973
1,8000,565.477,182.584,0.881
2,2000,70.169,22.285,0.699
2,4000,137.773,44.030,0.721
2,6000,209.379,66.955,0.971
2,8000,288.937,92.386,0.954
2,2000,69.502,22.210,0.962
2,4000,138.661,44.193,0.918
2,6000,209.288,67.108,0.955
2,8000,291.424,93.402,0.953
4,2000,37.410,11.735,0.927
4,4000,73.087,22.878,0.864
4,6000,109.109,34.402,0.973
4,8000,151.024,47.472,0.956
4,2000,37.082,11.651,0.911
4,4000,73.205,22.933,0.945
4,6000,109.537,34.568,0.883
4,8000,151.394,47.814,0.973
8,2000,22.355,6.312,0.943
8,4000,40.516,9.112,0.940
8,6000,63.775,18.124,0.919
8,8000,84.514,23.819,0.964
8,2000,21.699,6.478,0.973
8,4000,42.006,12.010,0.941
8,6000,61.866,18.096,0.957
8,8000,83.175,24.580,0.948
16,2000,14.689,4.415,0.928
16,4000,25.955,8.004,0.875
16,6000,41.453,11.076,0.948
16,8000,52.100,14.911,0.973
16,2000,14.950,4.638,0.675
16,4000,27.770,8.410,0.973
16,6000,39.820,11.731,0.957
16,8000,49.527,14.470,0.913
24,2000,15.436,4.884,0.969
24,4000,30.826,8.352,0.919
24,6000,40.217,12.269,0.971
24,8000,53.584,16.122,0.874
24,2000,17.975,5.169,0.963
24,4000,27.741,8.852,0.955
24,6000,41.783,12.432,0.871
24,8000,58.813,15.974,0.967
32,2000,16.616,4.711,0.936
32,4000,27.774,10.068,0.973
32,6000,45.710,16.260,0.968
32,8000,55.676,16.458,0.974
32,2000,16.872,5.552,0.971
32,4000,27.849,8.434,0.948
32,6000,41.653,12.913,0.965
32,8000,56.170,18.157,0.972
40,2000,16.776,5.089,0.970
40,4000,28.097,9.247,0.940
40,6000,43.026,13.933,0.924
40,8000,56.624,16.795,0.903
40,2000,16.932,5.274,0.955
40,4000,29.744,9.242,0.818
40,6000,43.516,12.330,0.971
40,8000,56.602,17.797,0.963
48,2000,15.552,5.475,0.955
48,4000,28.709,8.980,0.930
48,6000,41.588,13.590,0.974
48,8000,55.771,16.925,0.964
48,2000,15.724,5.256,0.855
48,4000,28.653,9.124,0.908
48,6000,41.091,13.301,0.972
48,8000,54.848,17.552,0.964
