chunks,samples,fit_time,predict_time,r_squared
1,2000,134.464,43.670,0.712
1,4000,271.654,87.332,0.956
1,6000,416.023,134.488,0.926
1,8000,560.105,182.208,0.970
1,2000,138.047,43.687,0.964
1,4000,270.990,87.515,0.936
1,6000,414.008,129.986,0.949
1,8000,570.489,173.735,0.973
1,2000,134.272,43.725,0.971
1,4000,270.316,88.037,0.953
1,6000,415.605,129.974,0.969
1,8000,563.766,179.497,0.972
2,2000,69.755,22.250,0.947
2,4000,136.455,43.976,0.950
2,6000,205.907,65.746,0.963
2,8000,274.526,88.043,0.969
2,2000,70.734,22.152,0.931
2,4000,140.697,43.790,0.950
2,6000,214.229,69.334,0.969
2,8000,297.616,95.960,0.954
2,2000,70.417,22.456,0.864
2,4000,139.862,44.597,0.959
2,6000,215.877,68.499,0.968
2,8000,304.086,97.601,0.731
4,2000,37.037,11.732,0.956
4,4000,74.238,22.900,0.894
4,6000,113.612,35.313,0.969
4,8000,159.695,50.215,0.974
4,2000,37.375,11.839,0.887
4,4000,73.928,23.168,0.931
4,6000,114.761,35.576,0.971
4,8000,158.302,49.871,0.897
4,2000,37.352,11.844,0.814
4,4000,73.830,23.188,0.925
4,6000,113.156,35.291,0.930
4,8000,158.762,51.251,0.734
8,2000,21.232,6.591,0.972
8,4000,41.242,12.729,0.926
8,6000,62.019,19.013,0.970
8,8000,85.917,26.630,0.972
8,2000,20.693,6.510,0.965
8,4000,40.929,12.428,0.906
8,6000,62.030,19.098,0.967
8,8000,85.419,25.870,0.908
8,2000,21.552,6.593,0.961
8,4000,41.032,13.080,0.890
8,6000,62.532,19.677,0.938
8,8000,83.843,25.879,0.954
16,2000,15.013,4.542,0.949
16,4000,27.544,8.291,0.972
16,6000,41.226,12.043,0.954
16,8000,51.827,15.850,0.806
16,2000,14.291,5.055,0.907
16,4000,28.120,8.818,0.972
16,6000,40.516,12.471,0.716
16,8000,51.687,15.448,0.972
16,2000,16.072,4.836,0.914
16,4000,29.676,8.859,0.969
16,6000,45.591,12.885,0.969
16,8000,57.777,17.123,0.943
24,2000,16.138,4.698,0.931
24,4000,29.182,9.074,0.971
24,6000,40.461,12.922,0.966
24,8000,52.718,16.242,0.724
24,2000,15.118,5.038,0.972
24,4000,27.639,8.949,0.938
24,6000,40.353,12.442,0.967
24,8000,53.295,17.291,0.923
24,2000,15.821,4.498,0.970
24,4000,32.247,8.898,0.928
24,6000,40.295,12.937,0.973
24,8000,60.353,20.372,0.889
32,2000,16.669,4.919,0.958
32,4000,29.729,8.174,0.973
32,6000,42.823,13.606,0.970
32,8000,56.216,18.744,0.972
32,2000,15.788,5.188,0.971
32,4000,30.321,9.125,0.888
32,6000,39.641,13.784,0.950
32,8000,55.045,18.716,0.893
32,2000,15.625,4.788,0.861
32,4000,29.217,9.183,0.972
32,6000,41.150,14.650,0.971
32,8000,51.576,15.505,0.966
40,2000,16.204,5.115,0.956
40,4000,29.070,8.998,0.736
40,6000,43.401,13.428,0.970
40,8000,55.447,17.474,0.967
40,2000,16.068,5.470,0.958
40,4000,28.748,9.118,0.968
40,6000,42.441,15.128,0.960
40,8000,55.936,17.722,0.955
40,2000,16.356,5.533,0.768
40,4000,28.756,9.434,0.968
40,6000,43.382,13.012,0.969
40,8000,54.539,17.167,0.962
48,2000,15.457,5.194,0.967
48,4000,28.911,9.020,0.971
48,6000,43.070,12.779,0.963
48,8000,54.391,16.019,0.970
48,2000,15.959,4.886,0.875
48,4000,29.010,9.021,0.909
48,6000,41.261,12.490,0.930
48,8000,52.852,16.787,0.955
48,2000,16.081,4.840,0.951
48,4000,29.220,8.661,0.966
48,6000,43.643,12.716,0.972
48,8000,53.451,16.381,0.967
