chunks,samples,fit_time,predict_time,r_squared
1,2000,226.164,46.109,0.993
1,4000,800.227,88.865,0.977
1,6000,1442.634,133.939,0.899
1,8000,2644.218,178.447,0.850
1,2000,226.575,44.328,0.993
1,4000,792.633,88.460,0.985
1,6000,1456.613,133.825,0.903
1,8000,2646.698,177.841,0.888
2,2000,113.548,22.362,0.994
2,4000,406.076,46.103,0.969
2,6000,735.723,67.253,0.928
2,8000,1326.685,87.960,0.888
2,2000,114.584,22.385,0.993
2,4000,401.613,44.699,0.980
2,6000,738.413,68.037,0.897
2,8000,1323.564,88.977,0.917
4,2000,60.534,11.705,0.994
4,4000,206.995,22.947,0.953
4,6000,373.618,34.025,0.909
4,8000,674.161,45.392,0.898
4,2000,60.818,11.420,0.994
4,4000,206.685,22.797,0.943
4,6000,373.913,34.280,0.917
4,8000,675.899,45.555,0.900
8,2000,33.232,6.295,0.993
8,4000,110.733,12.076,0.933
8,6000,195.969,18.013,0.897
8,8000,345.291,23.885,0.892
8,2000,33.545,6.354,0.993
8,4000,109.841,12.327,0.960
8,6000,195.121,18.020,0.929
8,8000,346.379,23.990,0.925
16,2000,22.428,4.193,0.994
16,4000,60.636,7.207,0.934
16,6000,106.397,10.192,0.836
16,8000,186.454,13.456,0.877
16,2000,20.640,3.914,0.994
16,4000,60.530,7.080,0.936
16,6000,106.214,10.300,0.908
16,8000,187.046,13.463,0.872
24,2000,21.477,4.876,0.993
24,4000,48.799,6.438,0.972
24,6000,78.168,9.011,0.853
24,8000,133.537,12.218,0.879
24,2000,21.032,4.666,0.992
24,4000,46.574,6.590,0.955
24,6000,79.008,9.331,0.875
24,8000,133.627,11.859,0.859
32,2000,20.420,4.293,0.994
32,4000,40.011,6.630,0.951
32,6000,67.086,8.881,0.902
32,8000,111.308,14.589,0.897
32,2000,20.530,3.882,0.994
32,4000,41.561,7.918,0.949
32,6000,65.955,8.849,0.915
32,8000,107.883,11.680,0.844
40,2000,17.545,4.312,0.992
40,4000,40.831,7.600,0.959
40,6000,60.084,10.835,0.873
40,8000,97.561,14.056,0.923
40,2000,16.081,4.296,0.992
40,4000,38.988,6.664,0.967
40,6000,61.040,10.343,0.895
40,8000,95.669,13.689,0.858
48,2000,17.190,4.059,0.994
48,4000,38.030,6.637,0.942
48,6000,54.798,10.298,0.942
48,8000,86.185,13.479,0.921
48,2000,16.238,4.095,0.994
48,4000,40.035,7.732,0.958
48,6000,57.405,10.291,0.911
48,8000,85.924,13.128,0.920
