chunks,samples,fit_time,predict_time,r_squared
2,2000,69.495,21.933,0.928
2,4000,136.635,43.470,0.942
2,6000,204.793,65.545,0.941
2,8000,273.130,86.164,0.948
2,2000,69.619,22.049,0.964
2,4000,136.359,43.570,0.971
2,6000,205.574,65.526,0.966
2,8000,272.720,87.042,0.943
4,2000,36.972,11.380,0.925
4,4000,71.324,22.344,0.909
4,6000,106.554,33.361,0.863
4,8000,141.189,44.034,0.974
4,2000,36.881,11.449,0.964
4,4000,71.636,22.266,0.968
4,6000,106.435,33.186,0.965
4,8000,140.399,44.606,0.972
8,2000,20.279,6.046,0.918
8,4000,38.499,11.878,0.848
8,6000,56.896,17.364,0.968
8,8000,76.049,23.228,0.971
8,2000,20.377,6.258,0.971
8,4000,38.859,11.920,0.968
8,6000,56.732,17.607,0.969
8,8000,75.694,23.517,0.914
16,2000,12.804,3.922,0.749
16,4000,22.792,6.871,0.946
16,6000,33.315,10.017,0.924
16,8000,43.778,13.039,0.822
16,2000,12.747,3.715,0.916
16,4000,22.709,6.892,0.972
16,6000,33.140,9.916,0.938
16,8000,43.772,12.992,0.973
24,2000,11.766,3.588,0.746
24,4000,19.651,6.269,0.748
24,6000,28.828,9.081,0.962
24,8000,37.503,11.218,0.966
24,2000,11.272,3.508,0.960
24,4000,19.995,6.421,0.899
24,6000,28.747,9.117,0.976
24,8000,37.469,11.380,0.863
32,2000,12.701,4.259,0.944
32,4000,20.248,6.001,0.752
32,6000,28.577,8.852,0.967
32,8000,36.649,11.477,0.974
32,2000,13.595,3.757,0.880
32,4000,20.285,6.261,0.932
32,6000,32.425,10.817,0.964
32,8000,37.233,11.600,0.913
40,2000,13.270,4.305,0.912
40,4000,19.940,6.398,0.968
40,6000,32.326,9.938,0.936
40,8000,42.214,12.396,0.957
40,2000,12.483,4.364,0.937
40,4000,20.056,6.165,0.909
40,6000,28.434,8.935,0.945
40,8000,41.357,13.022,0.955
48,2000,12.053,3.874,0.956
48,4000,22.975,6.378,0.935
48,6000,30.872,9.320,0.939
48,8000,42.371,13.048,0.969
48,2000,12.688,3.833,0.885
48,4000,22.411,6.519,0.972
48,6000,32.915,10.014,0.965
48,8000,41.005,12.773,0.943
