chunks,samples,fit_time,predict_time,r_squared
1,2000,136.249,42.872,0.968
1,4000,272.810,87.553,0.971
1,6000,404.712,129.317,0.934
1,8000,554.161,178.318,0.954
1,2000,134.573,43.924,0.926
1,4000,270.735,87.195,0.903
1,6000,404.957,129.933,0.953
1,8000,554.188,175.200,0.965
1,2000,137.063,43.916,0.923
1,4000,273.791,87.891,0.927
1,6000,406.593,130.515,0.974
1,8000,552.912,173.970,0.914
2,2000,69.238,21.958,0.971
2,4000,137.115,43.475,0.734
2,6000,205.521,65.394,0.965
2,8000,274.304,87.370,0.927
2,2000,69.818,22.214,0.969
2,4000,137.422,43.708,0.753
2,6000,205.260,64.711,0.970
2,8000,271.778,86.843,0.959
2,2000,69.520,21.913,0.956
2,4000,137.640,43.566,0.972
2,6000,205.175,65.359,0.959
2,8000,274.158,87.350,0.885
4,2000,36.805,11.606,0.926
4,4000,71.008,22.498,0.940
4,6000,106.450,33.529,0.756
4,8000,141.661,44.594,0.968
4,2000,36.375,11.390,0.891
4,4000,71.478,22.623,0.961
4,6000,106.296,33.728,0.970
4,8000,141.677,44.666,0.943
4,2000,36.960,11.315,0.927
4,4000,71.689,22.382,0.969
4,6000,106.192,33.490,0.945
4,8000,141.081,44.467,0.970
8,2000,20.638,6.174,0.969
8,4000,38.468,11.974,0.726
8,6000,56.850,17.658,0.945
8,8000,76.445,23.439,0.867
8,2000,19.922,6.206,0.956
8,4000,38.635,11.924,0.973
8,6000,56.707,17.565,0.952
8,8000,76.446,23.401,0.969
8,2000,20.417,6.203,0.856
8,4000,39.115,11.847,0.969
8,6000,57.389,17.749,0.967
8,8000,75.992,23.290,0.794
16,2000,12.479,3.789,0.921
16,4000,22.756,6.936,0.740
16,6000,33.144,9.990,0.971
16,8000,44.043,12.987,0.949
16,2000,12.930,3.868,0.876
16,4000,22.661,6.918,0.970
16,6000,33.442,9.918,0.948
16,8000,44.062,12.986,0.954
16,2000,12.899,3.700,0.947
16,4000,22.465,6.903,0.926
16,6000,33.413,9.918,0.967
16,8000,43.700,12.949,0.972
24,2000,11.182,3.534,0.942
24,4000,19.965,6.238,0.959
24,6000,28.391,8.811,0.958
24,8000,37.701,11.727,0.936
24,2000,12.807,3.595,0.891
24,4000,19.514,6.428,0.945
24,6000,28.487,8.715,0.973
24,8000,37.025,11.205,0.964
24,2000,14.871,4.576,0.719
24,4000,19.101,6.236,0.971
24,6000,28.706,8.670,0.937
24,8000,37.430,11.234,0.969
32,2000,12.636,4.030,0.966
32,4000,20.316,6.352,0.969
32,6000,28.924,8.508,0.971
32,8000,36.362,11.551,0.934
32,2000,12.421,4.104,0.949
32,4000,20.254,6.202,0.887
32,6000,28.994,8.605,0.960
32,8000,37.233,11.190,0.970
32,2000,13.594,4.245,0.970
32,4000,19.958,6.274,0.845
32,6000,28.703,8.754,0.972
32,8000,36.482,11.215,0.891
40,2000,12.787,3.942,0.894
40,4000,20.165,6.183,0.735
40,6000,30.884,8.951,0.911
40,8000,36.848,11.463,0.965
40,2000,12.690,3.896,0.957
40,4000,19.688,6.234,0.822
40,6000,28.824,11.117,0.956
40,8000,37.310,11.389,0.947
40,2000,12.823,3.841,0.945
40,4000,20.228,6.398,0.902
40,6000,29.028,9.206,0.958
40,8000,41.360,13.158,0.941
48,2000,12.246,3.931,0.954
48,4000,23.124,7.439,0.962
48,6000,33.377,10.086,0.970
48,8000,42.300,12.838,0.971
48,2000,12.852,3.936,0.916
48,4000,22.624,6.739,0.969
48,6000,32.436,9.884,0.966
48,8000,42.359,12.674,0.971
48,2000,12.547,3.706,0.961
48,4000,23.059,7.122,0.825
48,6000,32.762,10.289,0.973
48,8000,41.735,12.662,0.956
