chunks,samples,memory_usage,fit_time,predict_time,r_squared
1,2000,19103.65625,145.576,43.418,0.968
1,4000,37365.890625,278.655,86.485,0.967
1,8000,73285.71875,574.476,172.258,0.961
1,2000,19133.28125,143.981,43.565,0.970
1,4000,37376.835938,272.495,85.123,0.953
1,8000,73317.738281,559.126,172.943,0.971
2,2000,19270.730469,76.036,22.076,0.961
2,4000,37469.886719,145.508,43.930,0.904
2,8000,73908.589844,285.558,87.924,0.969
2,2000,19305.578125,77.516,22.054,0.798
2,4000,37481.65625,146.229,43.523,0.910
2,8000,73918.996094,288.177,87.880,0.721
4,2000,19389.316406,45.786,11.664,0.959
4,4000,37726.585938,81.864,22.787,0.927
4,8000,74018.9375,157.101,45.626,0.944
4,2000,19398.554688,44.828,11.501,0.965
4,4000,37743.75,81.635,22.707,0.949
4,8000,74051.117188,157.960,45.805,0.941
16,2000,14386.171875,34.313,6.536,0.910
16,4000,28422.910156,55.185,13.988,0.969
16,8000,54227.894531,106.072,31.157,0.944
16,2000,14265.316406,32.090,6.898,0.837
16,4000,26492.132812,53.701,13.306,0.938
16,8000,55002.957031,99.523,27.020,0.950
32,2000,9087.226562,30.321,7.379,0.955
32,4000,19586.378906,54.002,13.903,0.870
32,8000,37617.953125,98.672,29.459,0.957
32,2000,9916.035156,31.810,8.018,0.904
32,4000,20766.644531,53.206,13.445,0.874
32,8000,39902.851562,102.101,28.697,0.972
